time	SOI
2023-09-01	-1.2773492
2023-10-01	-0.35765737
2023-11-01	-0.87228006
2023-12-01	-0.19044115
2024-01-01	0.48622435
2024-02-01	-1.0791801
2024-03-01	0.33721575
2024-04-01	-0.04033056
2024-05-01	1.0660474
2024-06-01	0.2765106
2024-07-01	-0.8560474
2024-08-01	1.2265846
2024-09-01	-0.016117135
2024-10-01	0.64752257
2024-11-01	0.7516937
2024-12-01	0.94390255
2025-01-01	0.2475708
2025-02-01	0.64938724
2025-03-01	1.2302743
2025-04-01	0.65116805
2025-05-01	0.9479119
2025-06-01	0.8266065
